siren,siret,nom,forme_juridique,code_naf,adresse,code_postal,ville,date_creation
316656628,31665662800013,SOC FIDUCIAIRE COMPTABLE (SOFICOM),SAS,69.20Z,PERICENTRE 3 26 AVENUE DE THIES 14000 CAEN,14000,CAEN,1979-01-01
069200210,06920021001634,TGS FRANCE EXPERTISE COMPTABLE PAIE RH,SAS,69.20Z,PARC ACTIVITE ANGERS BEAUCOUZE 1 RUE DU TERTRE 49070 BEAUCOUZE,49070,BEAUCOUZE,1969-01-01
402504278,40250427800068,E&C EXPERTISE COMPTABLE,SAS,69.20Z,IMMEUBLE LE STIFF 15 RUE JURIEN DE LA GRAVIERE 29200 BREST,29200,BREST,1995-09-25
304577901,30457790100073,SODECC EXPERTISE COMPTABLE,SAS,69.20Z,43 RUE DES MINES 25400 AUDINCOURT,25400,AUDINCOURT,1974-01-01
407770809,40777080900090,LATITUDE EXPERTISE COMPTABLE,SARL,69.20Z,45 ROUTE DE VERDUN 21200 BEAUNE,21200,BEAUNE,1996-06-11
822343018,82234301800047,CULTURE COMPTABLE,SAS,69.20Z,11 RUE ALIX D'UNIENVILLE 33100 BORDEAUX,33100,BORDEAUX,2016-09-06
525350922,52535092200049,EC'LOR EXPERTISE COMPTABLE,SARL,69.20Z,20 ALLEE DES BLANCHES CROIX 88000 EPINAL,88000,EPINAL,2010-10-05
983002932,98300293200017,COIFFURE,SAS,96.02A,434 AVENUE DE FRONTON 31200 TOULOUSE,31200,TOULOUSE,2023-12-22
931063283,93106328300028,COIFFURE,SARL,96.02A,20 AVENUE CARNOT 30100 ALES,30100,ALES,2024-08-01
834307852,83430785200014,COIFFURE (SALON HAIR STYLE),SARL,96.02A,204 BOULEVARD GAMBETTA 59100 ROUBAIX,59100,ROUBAIX,2017-11-22
440339471,44033947101787,PASCAL COSTE COIFFURE,SAS,96.02A,2 AVENUE FERNAND BELONDRADE 82000 MONTAUBAN,82000,MONTAUBAN,2001-11-17
337913792,33791379200467,LA FAYETTE COIFFURE,SAS,96.02A,4 SQ FOCH 59000 LILLE,59000,LILLE,1986-05-29
404464000,40446400000052,COIFFURE PARIS,SAS,96.02A,72 GRANDE-RUE 25000 BESANCON,25000,BESANCON,1996-03-01
480898006,48089800600105,LORRAINE COIFFURE,SARL,96.02A,10 AVENUE DE LA GARE 54290 BAYON,54290,BAYON,2006-02-01
435144472,43514447200089,PC COIFFURE,SARL,96.02A,596 BOULEVARD ALBERT CAMUS 69400 VILLEFRANCHE-SUR-SAONE,69400,VILLEFRANCHE-SUR-SAONE,2001-03-27
510825425,51082542500018,MA COIFFURE,SARL,96.02A,3 PLACE JEANNE D'ARC 44700 ORVAULT,44700,ORVAULT,2009-03-02
799160304,79916030400017,VERSOLATO COIFFURE,SARL,96.02A,9 RUE SAINT ANTOINE DU T 31000 TOULOUSE,31000,TOULOUSE,2013-12-16
352851430,35285143000087,PRO COIFFURE DIFFUSION,SAS,46.45Z,9 QUAI DE LA BANQUIERE 06730 SAINT-ANDRE-DE-LA-ROCHE,06730,SAINT-ANDRE-DE-LA-ROCHE,1989-12-06
805201027,80520102700028,LILITH COIFFURE,SARL,96.02A,6 RUE DU GENERAL LECLERC 77480 BRAY-SUR-SEINE,77480,BRAY-SUR-SEINE,2014-11-01
820203610,82020361000028,COIFFURE AUTREMENT,SARL,96.02A,6 SQ DU COLLEGE CHAPUISIEN 74000 ANNECY,74000,ANNECY,2016-05-09
562130054,56213005400017,BOUCHERIE,SARL,47.22Z,9 RUE D'AUTEUIL 75016 PARIS,75016,PARIS,1956-01-01
539196089,53919608900012,BOUCHERIE,SARL,47.22Z,137 AVENUE DU MARECHAL FOCH 78300 POISSY,78300,POISSY,2012-02-01
849044029,84904402900015,BOUCHERIE (AU COMPTOIR DES VIANDES),SARL,47.22Z,166 CHAUSSEE SAINT-PIERRE 80080 AMIENS,80080,AMIENS,2019-03-01
415386408,41538640800017,LES BOUCHERIES DE LA PRAIRIE,SARL,47.22Z,5 RUE DE GARENNES 27750 LA COUTURE-BOUSSEY,27750,LA COUTURE-BOUSSEY,1997-12-05
382177335,38217733501593,BOUCHERIES J'M,SAS,47.22Z,POLE DE LA VIANDE 55 ALLEE DE LA HALLE 42350 LA TALAUDIERE,42350,LA TALAUDIERE,1991-04-22
722000593,72200059300011,BOUCHERIES BERNARD,SA,47.22Z,38 RUE DU LOUVRE 75001 PARIS,75001,PARIS,1972-01-01
392980876,39298087600065,BOUCHERIE ROUX,SARL,47.22Z,LIEUDIT LA VIGNOTTE RUE DE L'AVENIR 52200 SAINTS-GEOSMES,52200,SAINTS-GEOSMES,1993-11-10
444887095,44488709500024,BOUCHERIE MACKE,SAS,47.81Z,RUE DES ECOLIERS 62120 MAMETZ,62120,MAMETZ,2002-12-11
438270340,43827034000047,BOUCHERIE AUXENFANTS,SAS,47.22Z,14 RUE DES ECOLIERS 62120 MAMETZ,62120,MAMETZ,2001-04-01
332522341,33252234100095,BOUCHERIES ANDRE,SAS,47.22Z,2 AV DU LOUP PENDU 69140 RILLIEUX-LA-PAPE,69140,RILLIEUX-LA-PAPE,1985-04-01
482509999,48250999900736,VIAL MENUISERIES,SAS,70.10Z,ZE LES PLAYES JEAN MONNET NORD 865 AVENUE DE BRUXELLES 83500 LA SEYNE-SUR-MER,83500,LA SEYNE-SUR-MER,2010-02-10
302001797,30200179700042,RIDORET MENUISERIE,SA,43.32A,70 RUE DE QUEBEC 17000 LA ROCHELLE,17000,LA ROCHELLE,2008-10-01
408599975,40859997500021,BATISTYL MENUISERIES,SAS,22.23Z,ZI DE LA FROMENTINIERE 49360 MAULEVRIER,49360,MAULEVRIER,2007-10-31
343265146,34326514600070,MENUISERIE DIFFUSION (CASEO MD),SAS,46.73A,MEYTHET 60 RTE DE FRANGY 74000 ANNECY,74000,ANNECY,2017-07-01
418245262,41824526200013,PORALU MENUISERIES,SAS,22.23Z,ZI LE MARAIS RUE DES BOULEAUX 01460 PORT,01460,PORT,1998-04-01
888882156,88888215600019,C & L MENUISERIE,SARL,43.32A,75 RUE SOULACROIX 24330 BASSILLAC ET AUBEROCHE,24330,BASSILLAC ET AUBEROCHE,2020-09-04
534952015,53495201500012,L. MENUISERIE,SARL,43.32A,RN 193 BALEONE MEZZAVIA 20167 SARROLA-CARCOPINO,20167,SARROLA-CARCOPINO,2011-09-12
326519717,32651971700010,JANNEAU MENUISERIES,SAS,22.23Z,RTE D'ANCENIS 44430 LE LOROUX-BOTTEREAU,44430,LE LOROUX-BOTTEREAU,1983-02-11
303804553,30380455300012,LES MENUISERIES ARIEGEOISES,SAS,16.29Z,RUE DU LABAT 09000 SAINT-PAUL-DE-JARRAT,09000,SAINT-PAUL-DE-JARRAT,1975-01-01
307666958,30766695800037,DISTRIBUTION DE MENUISERIE,SAS,70.10Z,31 BOULEVARD DES SAULNIERS 35370 ARGENTRE-DU-PLESSIS,35370,ARGENTRE-DU-PLESSIS,1997-06-06
483393419,48339341900021,PEINTURE,SARL,43.34Z,4 RUE ANATOLE FRANCE 93700 DRANCY,93700,DRANCY,2005-07-04
752619577,75261957700014,DELANDRE (PEINTURE),SARL,43.34Z,8 RUE DES CRAYERES 51400 BACONNES,51400,BACONNES,2012-08-01
085680049,08568004900526,THEODORE MAISON DE PEINTURE,SAS,46.73A,ZONE INDUSTRIELLE A 5 RUE RENE CAUCHE 59139 NOYELLES-LES-SECLIN,59139,NOYELLES-LES-SECLIN,1956-01-01
936380062,93638006200013,PEINTURES MAESTRIA,SAS,20.30Z,ZI 1 RUE DENIS PAPIN 09100 PAMIERS,09100,PAMIERS,1963-01-01
655880680,65588068000013,LES PEINTURES REUNIES,SAS,43.34Z,22 AVENUE DU GENERAL DE GAULLE 57600 FORBACH,57600,FORBACH,1958-01-01
410073464,41007346400043,CENTRE EST PEINTURES DISTRIBUTION,SAS,46.73B,76 RUE DE VERDUN 69100 VILLEURBANNE,69100,VILLEURBANNE,1996-11-08
437720048,43772004800051,CONSORTIUM DES PEINTURES ET REVETEMENTS (CPR),SARL,47.52A,ZONE INDUSTRIELLE 22 AVENUE DU MAQUIS DES GLIERES 51470 SAINT-MEMMIE,51470,SAINT-MEMMIE,2001-05-01
769800590,76980059000176,SOCIETE DES PEINTURES EUROPEENNES (SPE),SAS,46.73B,40 RUE MARCEL BROT 54000 NANCY,54000,NANCY,1969-01-01
320663917,32066391700013,CORCELLE PEINTURE,SAS,46.73B,ZONE VERTE 20 RUE DE LA GUERLANDE 71880 CHATENOY-LE-ROYAL,71880,CHATENOY-LE-ROYAL,1980-12-01
902510346,90251034600015,PEPPLER PEINTURES,SAS,47.52A,15 RUE DU BON PASTEUR 67000 STRASBOURG,67000,STRASBOURG,2021-08-19
479434276,47943427600040,BOURGOGNE PEINTURE,SAS,70.10Z,ZI A 5 RUE RENE CAUCHE 59139 NOYELLES-LES-SECLIN,59139,NOYELLES-LES-SECLIN,2004-11-10
900994336,90099433600015,MACONNERIE,SARL,43.99C,119 CHEMIN DU COTEAU 26770 TAULIGNAN,26770,TAULIGNAN,2021-06-01
492137179,49213717900015,J L MACONNERIE,SARL,43.99C,CHALAMONT 21 ROUTE DU BARRAGE 69170 TARARE,69170,TARARE,2006-10-01
531521573,53152157300026,FILLON MACONNERIE,SAS,43.99C,LA CARRIERE 79420 SAINT-LIN,79420,SAINT-LIN,2011-04-01
401216130,40121613000054,MALOSSE MACONNERIE,SAS,43.99C,ZA DE TAULHAC 6 IMPASSE DU MONT-JONNET 43000 LE PUY-EN-VELAY,43000,LE PUY-EN-VELAY,1995-06-01
430392027,43039202700016,MACONNERIE DU GRANIER,SAS,43.99C,310 RUE DU GRANIER 73230 SAINT-ALBAN-LEYSSE,73230,SAINT-ALBAN-LEYSSE,2000-04-10
482003415,48200341500015,MARQUES MACONNERIE,SARL,43.99C,39 RUE LOUIS SANITAS 63200 MOZAC,63200,MOZAC,2005-04-01
344043302,34404330200019,MACONNERIE NEVEU,SARL,43.99C,67 ROUTE D'OYONNAX 01100 GEOVREISSET,01100,GEOVREISSET,1988-03-01
790203855,79020385500016,MACONNERIE MONTOISE,SARL,43.99C,ZONE D'ACTIVITES ROUTE DU PERRIER 85690 NOTRE-DAME-DE-MONTS,85690,NOTRE-DAME-DE-MONTS,2012-12-28
789256476,78925647600027,RG MACONNERIE,SARL,43.99C,57 AVENUE DU 22 AOUT 1944 34500 BEZIERS,34500,BEZIERS,2012-09-19
789681178,78968117800024,ERIC MACONNERIE,SARL,43.99C,37 RUE DU 19 MARS 1962 26400 AOUSTE-SUR-SYE,26400,AOUSTE-SUR-SYE,2012-11-15
800563686,80056368600016,BLACHE MACONNERIE,SAS,43.99C,105 ROUTE DE CHOISINE 07410 COLOMBIER-LE-VIEUX,07410,COLOMBIER-LE-VIEUX,2014-01-16
814611562,81461156200012,GILLET MACONNERIE,SARL,43.99C,RUE DE LA LIBERTE 35540 MINIAC-MORVAN,35540,MINIAC-MORVAN,2015-11-15
810365072,81036507200018,PROVENCE MACONNERIE,SAS,43.99C,1817 CHEMIN DU THOR 04180 VILLENEUVE,04180,VILLENEUVE,2015-04-01
752589846,75258984600035,FIGUIN MACONNERIE,SARL,43.99C,4 RUE DES JESUITES 33490 SAINT-MAIXANT,33490,SAINT-MAIXANT,2012-06-07
750224495,75022449500036,BILAL MACONNERIE,SARL,43.99C,ALLEE DE PUYMARET 19360 MALEMORT,19360,MALEMORT,2012-04-01
750271223,75027122300018,J.H MACONNERIE,SARL,43.99C,11 ROUTE DE LA PUYE 86300 BONNES,86300,BONNES,2012-03-14
750932345,75093234500010,DSS MACONNERIE,SARL,43.99C,12 RUE DE PUEBLA 78600 MAISONS-LAFFITTE,78600,MAISONS-LAFFITTE,2012-03-26
825100498,82510049800013,AC MACONNERIE,SAS,43.99C,9 T RUE ANATOLE FRANCE 63570 BRASSAC-LES-MINES,63570,BRASSAC-LES-MINES,2017-02-01
415021963,41502196300020,MACONNERIE RAGER,SARL,43.99C,53 RUE DES FOURS A CHAUX 85410 LA CAILLERE-SAINT-HILAIRE,85410,LA CAILLERE-SAINT-HILAIRE,1998-01-01
480593367,48059336700182,JARDINERIES MONPLAISIR,SAS,47.76Z,51 RUE PIERRE LOTI 16100 COGNAC,16100,COGNAC,2005-01-07
312910557,31291055700031,LES JARDINERIES DU SALEVE (BOTANIC),SAS,47.76Z,ARCHAMPS 300 RUE LOUIS RUSTIN 74160 SAINT-JULIEN-EN-GENEVOIS,74160,SAINT-JULIEN-EN-GENEVOIS,1978-01-01
451319891,45131989100011,LES JARDINERIES DE BOURBON,SAS,47.76Z,BOURG MURAT PK 27 97418 LE TAMPON,97418,LE TAMPON,2003-12-05
384797890,38479789000025,LUR BERRI JARDINERIES,SAS,47.76Z,1993 ROUTE DEPARTEMENTALE 933 64120 AICIRITS-CAMOU-SUHAST,64120,AICIRITS-CAMOU-SUHAST,1992-02-01
839139177,83913917700027,JARDINERIES D'ICI,SAS,47.76Z,187 AVENUE DU GENDARME CASTERMANT 77500 CHELLES,77500,CHELLES,2018-04-19
311960769,31196076900025,JARDINERIE LES BORDS DE SAONE,SAS,47.76Z,21 AVENUE ADRIEN THIERRY 01190 PONT-DE-VAUX,01190,PONT-DE-VAUX,1978-01-01
402257356,40225735600020,JARDINERIE SALUSSOLIA,SARL,47.76Z,CHEMIN DE LA LEVADE 06550 LA ROQUETTE-SUR-SIAGNE,06550,LA ROQUETTE-SUR-SIAGNE,1995-07-01
326016136,32601613600011,JARDINERIE LAGADEC,SARL,47.76Z,RUE DU JARDIN DES LETTRES 29800 SAINT-THONAN,29800,SAINT-THONAN,1982-10-15
421570573,42157057300012,JARDINERIE DUPOIRIER,SAS,47.76Z,114 BOULEVARD DE GARDEROSE 33500 LIBOURNE,33500,LIBOURNE,1998-09-01
440160901,44016090100011,JARDINERIE D'ISNEAUVILLE,SAS,47.76Z,100 ROUTE DE NEUFCHATEL 76230 ISNEAUVILLE,76230,ISNEAUVILLE,2001-12-12
